----------------------------------------
Begin PBS Prologue Thu Aug 17 12:49:02 EDT 2017 1502988542
Job ID:		97888995.gm-1r16-n04.guillimin.clumeq.ca
Username:	hophy
Group:		fyw-423-02
Nodes:		sw-4r04-n08
End PBS Prologue Thu Aug 17 12:49:02 EDT 2017 1502988542
----------------------------------------
Reading input from file input.out
Dim			:0.94407 
 Delr			:0.1 
 N				:48000 
 Maxbin_x			:413 
 Maxbin_y			:3167 
 Max_Maxbin			:3167 
 Drmax			:0.472035 
 Isave			:50 
 Iprint			:50 
 Iratio			:1 
 Cells.x			:20 
 Cells.y			:155 
 Region.x			:80 
 Region.y			:600 
 
Setting up initial square array configuration ....	 
 
number of particle	:48000
write out the inital configuration ...

START OF MARKOV CHAIN


ACM:	Ratio:	Drmax:


   50  0.5160  0.0490 
  100  0.5090  0.0509 
  150  0.4988  0.0529 
  200  0.5049  0.0607 
  250  0.5073  0.0630 
  300  0.4982  0.0592 
  350  0.4926  0.0614 
  400  0.5202  0.0638 
  450  0.5031  0.0662 
  500  0.4944  0.0622 
  550  0.5202  0.0646 
  600  0.5055  0.0670 
  650  0.4959  0.0630 
  700  0.4850  0.0654 
  750  0.5072  0.0679 
  800  0.4977  0.0637 
  850  0.4873  0.0662 
  900  0.5096  0.0687 
  950  0.4977  0.0645 
 1000  0.5179  0.0670 
 1050  0.5026  0.0696 
 1100  0.4973  0.0654 
 1150  0.4882  0.0679 
 1200  0.5000  0.0637 
 1250  0.4935  0.0662 
 1300  0.5155  0.0687 
 1350  0.5038  0.0713 
 1400  0.4891  0.0670 
 1450  0.5099  0.0696 
 1500  0.4993  0.0653 
 1550  0.5199  0.0678 
 1600  0.5074  0.0704 
 1650  0.4966  0.0662 
 1700  0.4869  0.0687 
 1750  0.5076  0.0713 
 1800  0.4973  0.0670 
 1850  0.5172  0.0695 
 1900  0.5057  0.0722 
 1950  0.4926  0.0678 
 2000  0.5111  0.0704 
 2050  0.5014  0.0731 
 2100  0.4903  0.0687 
 2150  0.5076  0.0713 
 2200  0.4979  0.0670 
 2250  0.4840  0.0695 
 2300  0.5073  0.0722 
 2350  0.4946  0.0678 
 2400  0.5117  0.0704 
 2450  0.4977  0.0661 
 2500  0.4946  0.0687 
 2550  0.5172  0.0713 
 2600  0.5028  0.0740 
 2650  0.4865  0.0695 
 2700  0.5102  0.0722 
 2750  0.4980  0.0678 
 2800  0.5172  0.0704 
 2850  0.5033  0.0731 
 2900  0.4906  0.0686 
 2950  0.5106  0.0713 
 3000  0.4996  0.0669 
 3050  0.5202  0.0695 
 3100  0.5090  0.0722 
 3150  0.5008  0.0749 
 3200  0.5157  0.0704 
 3250  0.5081  0.0731 
 3300  0.4887  0.0686 
 3350  0.5159  0.0713 
 3400  0.5026  0.0740 
 3450  0.4901  0.0695 
 3500  0.5104  0.0721 
 3550  0.4989  0.0678 
 3600  0.4897  0.0704 
 3650  0.5082  0.0730 
 3700  0.4954  0.0686 
 3750  0.4804  0.0712 
 3800  0.5058  0.0740 
 3850  0.4902  0.0695 
 3900  0.5145  0.0721 
 3950  0.4997  0.0678 
 4000  0.4926  0.0703 
 4050  0.5112  0.0730 
 4100  0.4956  0.0686 
